attendance_percentage,midterm_score,historical_gpa,study_hours_per_week,subject_difficulty_score,ca_avg,rule_risk_score,final_score,pass_fail
78.11,59.2,2.31,15.7,0.374,55.38,0.34382,51.65,0
66.63,69.31,3.19,23.5,0.505,66.72,0.32539,69.1,1
98.21,71.17,2.69,15.0,0.918,59.06,0.21647,65.41,1
79.88,44.16,2.34,26.4,0.613,55.19,0.3824299999999999,60.38,1
66.58,49.74,2.12,20.6,0.227,51.25,0.43071,49.1,0
75.27,54.6,2.43,21.2,0.434,55.185,0.369565,57.83,0
76.38,77.46,3.4,27.8,0.605,74.53,0.23851,71.23,1
80.38,83.03,2.78,25.8,0.5860000000000001,67.545,0.2267549999999999,69.44,1
73.01,68.21,2.94,17.9,0.903,61.645,0.318395,59.82,0
77.47,52.2,2.49,17.3,0.7230000000000001,61.21,0.34989,66.68,1
76.82,63.18,2.96,28.1,0.327,68.16499999999999,0.298685,66.34,1
99.92,77.81,2.71,25.9,0.5980000000000001,69.92500000000001,0.1571149999999999,77.27,1
88.52,65.71,3.05,21.1,0.181,58.315,0.273845,67.16,1
89.35,57.75,2.16,23.7,0.946,55.73,0.30216,59.16,0
78.54,48.95,2.69,21.0,0.318,58.19,0.3644199999999999,60.84,1
95.89,75.3,3.3,28.3,0.866,67.47999999999999,0.1881,72.28,1
70.66,57.94,3.36,19.5,0.741,67.72,0.34038,59.57,0
77.83,66.05,2.37,22.6,0.631,68.38499999999999,0.285375,68.07,1
78.76,75.25,2.99,19.2,0.75,68.82499999999999,0.252735,74.77,1
66.53,70.1,3.01,26.7,0.597,66.62,0.32372,67.74,1
98.73,59.48,2.48,22.2,0.943,67.28,0.2247999999999999,68.17,1
77.55,58.68,2.36,15.2,0.367,49.395,0.365575,62.39,1
93.35,77.09,3.45,28.8,0.404,81.94,0.14951,75.91,1
88.52,81.58,3.97,21.3,0.394,80.44,0.15986,72.74,1
91.95,81.53,3.59,30.0,0.5650000000000001,73.8,0.16621,77.73,1
80.17,70.04,2.54,15.6,0.316,59.865,0.2896049999999999,66.84,1
90.01,59.09,2.0,17.6,0.782,61.725,0.277515,60.06,1
68.3,57.41,2.21,23.8,0.1139999999999999,63.6,0.36377,65.12,1
82.61,68.51,3.31,24.5,0.449,70.185,0.2534749999999999,71.12,1
93.72,55.9,3.01,18.9,0.135,67.67,0.25441,63.43,1
88.91,67.99,2.97,23.7,0.89,60.935,0.257585,66.24,1
84.18,73.33,3.08,17.5,0.8800000000000001,63.7,0.2521899999999999,61.49,1
95.04,81.98,3.61,30.5,0.388,78.515,0.1383549999999999,82.6,1
88.69,70.41,3.54,18.5,0.972,52.615,0.276165,63.8,1
91.65,54.23,2.46,15.1,0.988,59.6,0.2919099999999999,60.33,1
85.72,48.74,2.77,24.7,0.491,64.33,0.3179099999999999,59.18,0
65.4,60.61,2.81,19.2,0.357,59.175,0.3790449999999999,52.73,0
93.07,74.67,3.4,30.8,0.726,77.69,0.17064,77.65,1
83.31,73.66,3.82,20.1,0.353,85.9,0.18808,77.08,1
68.74,49.85,3.17,17.5,0.3339999999999999,53.620000000000005,0.4146299999999999,51.0,0
89.44,52.4,2.37,16.8,0.939,50.4,0.33384,52.9,0
79.39,62.06,3.46,27.2,0.133,69.56,0.2875799999999999,69.72,1
74.57,67.24,2.63,28.4,0.646,62.66,0.3120200000000001,66.8,1
66.64,64.3,3.43,27.8,0.532,57.72,0.36738,66.77,1
91.43,77.38,3.06,25.3,0.914,80.67500000000001,0.1601149999999999,71.45,1
