student_id,attendance_percentage,quiz_score_avg,assignment_score_avg,midterm_score,historical_gpa,study_hours_per_week,participation_score,subject_difficulty_score,semester_number,final_score,pass_fail,attendance_tier,gpa_tier,ca_avg,rule_risk_score,midterm_relative
510845f3-fec3-423e-84ba-12422f4f8058,78.11,55.8,54.96,59.2,2.31,15.7,75.8,0.374,6,51.65,0,1,1,55.379999999999995,0.34382000000000007,-13.415999999999997
85fe2085-7fc6-41a7-9819-9062e3f12102,66.63,69.04,64.4,69.31,3.19,23.5,83.34,0.505,2,69.1,1,0,3,66.72,0.32539,8.75200000000001
a1e6e199-b45e-408a-b633-2cc2656dab41,98.21,60.37,57.75,71.17,2.69,15.0,71.54,0.918,4,65.41,1,3,2,59.06,0.21647,8.32333333333333
ed75ac0f-5371-4900-b7fa-b59e8978a2ec,79.88,59.76,50.62,44.16,2.34,26.4,72.74,0.613,4,60.38,1,1,1,55.19,0.38242999999999994,-17.300000000000004
2bcfaf42-2ff8-45b6-9975-e8f668e78fe8,66.58,45.49,57.01,49.74,2.12,20.6,72.96,0.227,7,49.1,0,0,1,51.25,0.43071,-0.7899999999999991
44cee260-078f-4d43-98ee-1262bc732822,75.27,56.14,54.23,54.6,2.43,21.2,72.83,0.434,6,57.83,0,1,1,55.185,0.369565,-10.648571428571422
0779ce7c-1b9d-4332-8b4e-58c12d656735,76.38,78.05,71.01,77.46,3.4,27.8,74.84,0.605,7,71.23,1,1,3,74.53,0.23851000000000003,6.475999999999999
289bbf8f-35ab-451b-adbc-86d197e383b3,80.38,68.3,66.79,83.03,2.78,25.8,82.38,0.5860000000000001,5,69.44,1,1,2,67.545,0.22675499999999998,16.308999999999997
a5486bf4-ddc0-4ad3-85a4-5d5e16a7fcd0,73.01,59.41,63.88,68.21,2.94,17.9,82.52,0.903,3,59.82,0,0,2,61.644999999999996,0.318395,4.031666666666666
e2f9d00a-8f8e-455b-b260-5243c60a830c,77.47,59.59,62.83,52.2,2.49,17.3,69.52,0.7230000000000001,2,66.68,1,1,1,61.21,0.34989,-10.199999999999996
ea52a31e-5d5f-4151-ab4c-7ea7c54c6d8a,76.82,64.59,71.74,63.18,2.96,28.1,79.4,0.327,2,66.34,1,1,2,68.16499999999999,0.29868500000000003,0.43888888888889
404905ab-087f-4827-95cb-fb0f3ba62e35,99.92,69.4,70.45,77.81,2.71,25.9,60.01,0.5980000000000001,7,77.27,1,3,2,69.92500000000001,0.15711499999999995,13.44285714285715
acf69442-dc25-4105-9741-437cd8fdfba7,88.52,62.67,53.96,65.71,3.05,21.1,91.14,0.181,1,67.16,1,2,3,58.315,0.273845,-0.4114285714285728
9b392407-652b-44f7-8cdb-0890a038d41f,89.35,53.05,58.41,57.75,2.16,23.7,74.24,0.946,8,59.16,0,2,1,55.73,0.30216,-0.9299999999999997
3f9f8e46-ea20-4850-9069-b5f5d2d0a20b,78.54,55.62,60.76,48.95,2.69,21.0,90.46,0.318,8,60.84,1,1,2,58.19,0.3644199999999999,-14.43666666666666
9f6ec5db-62fb-4a72-adae-fcb7c157f250,95.89,68.39,66.57,75.3,3.3,28.3,87.37,0.866,1,72.28,1,3,3,67.47999999999999,0.18810000000000002,4.634
1e2e1db8-1fd7-4ec1-8741-ec23e7013980,70.66,69.37,66.07,57.94,3.36,19.5,90.6,0.741,1,59.57,0,0,3,67.72,0.34038,-1.9962500000000034
ba2aec6f-feae-4fa9-b3a0-71426797364b,77.83,68.28,68.49,66.05,2.37,22.6,69.45,0.631,6,68.07,1,1,1,68.38499999999999,0.285375,4.6058333333333294
029f42cd-07eb-4a46-8ab5-27bd0f2939e0,78.76,70.94,66.71,75.25,2.99,19.2,100.0,0.75,3,74.77,1,1,2,68.82499999999999,0.25273500000000004,3.9399999999999977
bfc0f654-45cb-4d63-93c9-4d1aa944e43b,66.53,65.99,67.25,70.1,3.01,26.7,78.98,0.597,7,67.74,1,0,3,66.62,0.32372,8.333333333333329
51ee5b9c-85e4-4a87-8fa0-bcb37efb6db0,98.73,67.12,67.44,59.48,2.48,22.2,75.9,0.943,2,68.17,1,3,1,67.28,0.22479999999999997,-0.6200000000000045
834aba40-4d2c-4d20-aa59-19eabc9758c7,77.55,50.13,48.66,58.68,2.36,15.2,83.6,0.367,2,62.39,1,1,1,49.394999999999996,0.36557500000000004,-2.6600000000000037
528dcd2f-33b1-41f8-b72d-5e11e0e9fa48,93.35,90.4,73.48,77.09,3.45,28.8,85.21,0.404,4,75.91,1,3,3,81.94,0.14951,8.115340909090904
aadbd4ed-0613-4190-9f1e-93b04b813e79,88.52,79.21,81.67,81.58,3.97,21.3,82.84,0.394,8,72.74,1,2,3,80.44,0.15986,15.671666666666667
e8e8bd20-a92d-4c8a-b63b-f4f522476440,91.95,64.88,82.72,81.53,3.59,30.0,86.63,0.5650000000000001,6,77.73,1,3,3,73.8,0.16621,20.04714285714286
2db028fa-ad5b-4a47-a479-131ae1f64d59,80.17,55.86,63.87,70.04,2.54,15.6,79.08,0.316,6,66.84,1,1,2,59.864999999999995,0.28960499999999995,6.635000000000005
6c1668cf-89b0-4715-bc1f-9c1d59774d71,90.01,59.24,64.21,59.09,2.0,17.6,76.13,0.782,1,60.06,1,2,0,61.724999999999994,0.277515,-1.152000000000001
28439eb6-f92f-4dc9-93cd-7f85d4b445dd,68.3,63.87,63.33,57.41,2.21,23.8,77.4,0.1139999999999999,3,65.12,1,0,1,63.599999999999994,0.36377000000000004,-12.543750000000003
63696b2c-16ea-4cdb-a973-b8316704857b,82.61,73.08,67.29,68.51,3.31,24.5,81.01,0.449,4,71.12,1,1,3,70.185,0.25347499999999995,2.4366666666666816
a2b1f844-5635-4806-b69d-2727b3695d14,93.72,69.8,65.54,55.9,3.01,18.9,75.64,0.135,2,63.43,1,3,3,67.67,0.25441,-10.219999999999992
46f25401-029b-432f-a5e7-a5597b912604,88.91,61.5,60.37,67.99,2.97,23.7,74.46,0.89,4,66.24,1,2,2,60.935,0.257585,-0.6150000000000091
a474566b-362c-4af8-9e69-c6911daa4773,84.18,72.81,54.59,73.33,3.08,17.5,83.94,0.8800000000000001,8,61.49,1,2,3,63.7,0.2521899999999999,0.9379999999999882
fce41c49-709f-443f-82f8-934478d1e9dd,95.04,78.53,78.5,81.98,3.61,30.5,87.45,0.388,3,82.6,1,3,3,78.515,0.13835499999999995,18.028000000000006
99aeaedb-302a-489a-b9ec-ea3f1aa95575,88.69,57.97,47.26,70.41,3.54,18.5,94.51,0.972,1,63.8,1,2,3,52.614999999999995,0.276165,5.719999999999999
a377bc70-da99-4112-a54c-e587ad2e369a,91.65,60.07,59.13,54.23,2.46,15.1,81.86,0.988,8,60.33,1,3,1,59.6,0.29190999999999995,-9.809999999999995
25c79b7e-982c-403e-8530-8e0fa030afc9,85.72,70.3,58.36,48.74,2.77,24.7,73.67,0.491,5,59.18,0,2,2,64.33,0.31790999999999997,-12.73222222222222
54253147-b406-42e8-9acb-977a8d8584d1,65.4,55.93,62.42,60.61,2.81,19.2,80.71,0.357,8,52.73,0,0,2,59.175,0.37904499999999997,-7.545999999999992
c74d27ac-a24f-4e45-a48f-a299514e7cf6,93.07,76.97,78.41,74.67,3.4,30.8,78.66,0.726,1,77.65,1,3,3,77.69,0.17064000000000004,5.334285714285713
ec7c7ec5-3239-4f8c-bf65-60ee9e462bac,83.31,82.85,88.95,73.66,3.82,20.1,81.47,0.353,8,77.08,1,2,3,85.9,0.18808,8.47666666666666
33c057fd-2a86-4877-b804-39711343a3aa,68.74,52.47,54.77,49.85,3.17,17.5,73.61,0.3339999999999999,3,51.0,0,0,3,53.620000000000005,0.41462999999999994,-1.2324999999999946
736b6639-f36d-4855-bc8b-11fd753037f1,89.44,50.51,50.29,52.4,2.37,16.8,91.81,0.939,2,52.9,0,2,1,50.4,0.33384,-9.123333333333342
a8f808fe-7310-42c3-9248-1b946c9838d7,79.39,65.58,73.54,62.06,3.46,27.2,74.45,0.133,7,69.72,1,1,3,69.56,0.28757999999999995,-9.554000000000002
e6c36e2a-229c-4256-b649-1f3bed8fc261,74.57,63.97,61.35,67.24,2.63,28.4,78.86,0.646,6,66.8,1,0,2,62.66,0.3120200000000001,3.184999999999988
6688172d-648b-4780-a660-ee8da350236a,66.64,49.56,65.88,64.3,3.43,27.8,83.31,0.532,7,66.77,1,0,3,57.72,0.36738,5.458888888888893
0ff3fc79-5c90-4f70-b3ba-9538c6895fbf,91.43,84.01,77.34,77.38,3.06,25.3,91.55,0.914,4,71.45,1,3,3,80.67500000000001,0.16011499999999995,9.22666666666666
29a9b218-e7c0-4b87-82d0-3d9fc57e540d,96.87,85.78,75.16,90.33,3.97,26.7,83.69,0.16,5,85.96,1,3,3,80.47,0.10011999999999999,20.028333333333336
782b795e-906a-48b3-acbd-4f736949baf5,99.3,48.34,40.64,50.1,2.19,13.4,72.48,0.411,3,54.58,0,3,1,44.49,0.31903,-13.032499999999999
