student_id,attendance_percentage,quiz_score_avg,assignment_score_avg,midterm_score,historical_gpa,study_hours_per_week,participation_score,subject_difficulty_score,semester_number,final_score,pass_fail
510845f3-fec3-423e-84ba-12422f4f8058,78.11,55.8,54.96,59.2,2.31,15.7,75.8,0.374,6,51.65,0
85fe2085-7fc6-41a7-9819-9062e3f12102,66.63,69.04,64.4,69.31,3.19,23.5,83.34,0.505,2,69.1,1
a1e6e199-b45e-408a-b633-2cc2656dab41,98.21,60.37,57.75,71.17,2.69,15.0,71.54,0.9179999999999999,4,65.41,1
ed75ac0f-5371-4900-b7fa-b59e8978a2ec,79.88,59.76,50.62,44.16,2.34,26.4,72.74,0.613,4,60.38,1
2bcfaf42-2ff8-45b6-9975-e8f668e78fe8,66.58,45.49,57.01,49.74,2.12,20.6,72.96,0.227,7,49.1,0
44cee260-078f-4d43-98ee-1262bc732822,75.27,56.14,54.23,54.6,2.43,21.2,72.83,0.434,6,57.83,0
0779ce7c-1b9d-4332-8b4e-58c12d656735,76.38,78.05,71.01,77.46,3.4,27.8,74.84,0.605,7,71.23,1
289bbf8f-35ab-451b-adbc-86d197e383b3,80.38,68.3,66.79,83.03,2.78,25.8,82.38,0.5860000000000001,5,69.44,1
a5486bf4-ddc0-4ad3-85a4-5d5e16a7fcd0,73.01,59.41,63.88,68.21,2.94,17.9,82.52,0.9029999999999999,3,59.82,0
e2f9d00a-8f8e-455b-b260-5243c60a830c,77.47,59.59,62.83,52.2,2.49,17.3,69.52,0.7230000000000001,2,66.68,1
ea52a31e-5d5f-4151-ab4c-7ea7c54c6d8a,76.82,64.59,71.74,63.18,2.96,28.1,79.4,0.327,2,66.34,1
404905ab-087f-4827-95cb-fb0f3ba62e35,99.92,69.4,70.45,77.81,2.71,25.9,60.01,0.5980000000000001,7,77.27,1
acf69442-dc25-4105-9741-437cd8fdfba7,88.52,62.67,53.96,65.71,3.05,21.1,91.14,0.181,1,67.16,1
9b392407-652b-44f7-8cdb-0890a038d41f,89.35,53.05,58.41,57.75,2.16,23.7,74.24,0.9460000000000001,8,59.16,0
3f9f8e46-ea20-4850-9069-b5f5d2d0a20b,78.54,55.62,60.76,48.95,2.69,21.0,90.46,0.318,8,60.84,1
9f6ec5db-62fb-4a72-adae-fcb7c157f250,95.89,68.39,66.57,75.3,3.3,28.3,87.37,0.866,1,72.28,1
1e2e1db8-1fd7-4ec1-8741-ec23e7013980,70.66,69.37,66.07,57.94,3.36,19.5,90.6,0.741,1,59.57,0
ba2aec6f-feae-4fa9-b3a0-71426797364b,77.83,68.28,68.49,66.05,2.37,22.6,69.45,0.631,6,68.07,1
029f42cd-07eb-4a46-8ab5-27bd0f2939e0,78.76,70.94,66.71,75.25,2.99,19.2,100.0,0.75,3,74.77,1
bfc0f654-45cb-4d63-93c9-4d1aa944e43b,66.53,65.99,67.25,70.1,3.01,26.7,78.98,0.597,7,67.74,1
51ee5b9c-85e4-4a87-8fa0-bcb37efb6db0,98.73,67.12,67.44,59.48,2.48,22.2,75.9,0.943,2,68.17,1
834aba40-4d2c-4d20-aa59-19eabc9758c7,77.55,50.13,48.66,58.68,2.36,15.2,83.6,0.367,2,62.39,1
528dcd2f-33b1-41f8-b72d-5e11e0e9fa48,93.35,90.4,73.48,77.09,3.45,28.8,85.21,0.404,4,75.91,1
